municipality, title, party, name
8th JUDICIAL DISTRICT, JUSTICE OF THE SUPREME COURT, 1A DEM, Frank A Sedita III
8th JUDICIAL DISTRICT, JUSTICE OF THE SUPREME COURT, 2A DEM, Emilio L Colaiacovo
ERIE COUNTY, COUNTY JUDGE, 3A DEM, James F Bargnesi
ERIE COUNTY, COUNTY JUDGE, 4A DEM, Sheila A Ditullio
ERIE COUNTY, FAMILY COURT JUDGE, 5A DEM, Kelly A Brinkworth
ERIE COUNTY, FAMILY COURT JUDGE, 5B REP, Brenda M Freedman
ERIE COUNTY, FAMILY COURT JUDGE, 5G WEP, Kelly A Brinkworth
ERIE COUNTY, COUNTY EXECUTIVE, 6A DEM, Mark C Poloncarz
ERIE COUNTY, COUNTY EXECUTIVE, 6B REP, Raymond W Walter
ERIE COUNTY, COUNTY EXECUTIVE, 6D GRE, Eric Jones
ERIE COUNTY LEGISLATOR, 1ST LEGISLATIVE DISTRICT, 7A DEM, Barbara Miller-Williams
ERIE COUNTY LEGISLATOR, 2ND LEGISLATIVE DISTRICT, 7A DEM, Betty Jean Grant
ERIE COUNTY LEGISLATOR, 3RD LEGISLATIVE DISTRICT, 7A DEM, Peter J Savage III
ERIE COUNTY LEGISLATOR, 3RD LEGISLATIVE DISTRICT, 7D GRE, Anthony Baney
ERIE COUNTY LEGISLATOR, 4TH LEGISLATIVE DISTRICT, 7A DEM, Todd J Potter Jr
ERIE COUNTY LEGISLATOR, 4TH LEGISLATIVE DISTRICT, 7B REP, Kevin R Hardwick
ERIE COUNTY LEGISLATOR, 5TH LEGISLATIVE DISTRICT, 7A DEM, Thomas A Loughran
ERIE COUNTY LEGISLATOR, 5TH LEGISLATIVE DISTRICT, 7B REP, Guy R Marlette
ERIE COUNTY LEGISLATOR, 5TH LEGISLATIVE DISTRICT, GRE, Lynette C Batt
ERIE COUNTY LEGISLATOR, 6TH LEGISLATIVE DISTRICT, 7A DEM, Riyam Wannas
ERIE COUNTY LEGISLATOR, 6TH LEGISLATIVE DISTRICT, 7B REP, Edward A Rath III
ERIE COUNTY LEGISLATOR, 7TH LEGISLATIVE DISTRICT, 7A DEM, Patrick B Burke
ERIE COUNTY LEGISLATOR, 8TH LEGISLATIVE DISTRICT, 7A DEM, Debra S Liegl
ERIE COUNTY LEGISLATOR, 8TH LEGISLATIVE DISTRICT, 7B REP, Ted B Morton
ERIE COUNTY LEGISLATOR, 9TH LEGISLATIVE DISTRICT, 7A DEM, Daniel M Hawrylczak
ERIE COUNTY LEGISLATOR, 9TH LEGISLATIVE DISTRICT, 7B REP, Lynne Dixon
ERIE COUNTY LEGISLATOR, 10TH LEGISLATIVE DISTRICT, 7B REP, Joseph C Lorigo
ERIE COUNTY LEGISLATOR, 11TH LEGISLATIVE DISTRICT, 7B REP, John J Mills
BUFFALO, CITY COURT JUDGE, 10 Year Term, 8A DEM, Jaharr S Pridgen
BUFFALO, CITY COMPTROLLER, 9A DEM, Mark J F Schroeder
BUFFALO, COUNCIL MEMBER, 10A DEM, Joel Feroleto
BUFFALO, COUNCIL MEMBER, 10B REP, Peter A Rouff
BUFFALO, COUNCIL MEMBER, 10A DEM, Darius G Pridgen
BUFFALO, COUNCIL MEMBER, 10I OE, Terrance L Heard
BUFFALO, COUNCIL MEMBER, 10A DEM, David A Franczyk
BUFFALO, COUNCIL MEMBER, 10F IND, David P Howard
BUFFALO, COUNCIL MEMBER, 10A DEM, Richard A Fontana
BUFFALO, COUNCIL MEMBER, 10A DEM, Ulysees O Wingo Sr
BUFFALO, COUNCIL MEMBER, 10C CON, Michael A Woolford
BUFFALO, COUNCIL MEMBER, 10A DEM, David A Rivera
BUFFALO, COUNCIL MEMBER, 10D GRE, Charley Tarr
BUFFALO, COUNCIL MEMBER, 10A DEM, Joseph Golombek Jr
BUFFALO, COUNCIL MEMBER, 10A DEM, Christopher P Scanlon
BUFFALO, COUNCIL MEMBER, 10A DEM, Rasheed NC Wyatt
LACKAWANNA, MAYOR, 8A DEM, Geoffrey M Szymanski
LACKAWANNA, COUNCIL PRESIDENT, 9A DEM, Keith E Lewis
LACKAWANNA, COUNCIL PRESIDENT, 9E WOR, Charles Jaworski
LACKAWANNA, LACKAWANNA COUNCILMAN 4TH WARD, 10A DEM, Jeffrey P DePasquale
LACKAWANNA, LACKAWANNA COUNCILMAN 4TH WARD, 10C CON, Charles D Kowalski
LACKAWANNA, LACKAWANNA COUNCILMAN 4TH WARD, 10F IND, William F Koch
TONAWANDA, CITY JUDGE, 8A DEM, G Michael Drmacich
TONAWANDA, CITY JUDGE, 8B REP, Mark E Saltarelli
TONAWANDA, CITY JUDGE, 8D GRE, Mark A Doane
TONAWANDA, PRESIDENT OF THE COMMON COUNCIL, 9A DEM, Jenna N Koch
TONAWANDA, PRESIDENT OF THE COMMON COUNCIL, 9B REP, Christine M Pilozzi
TONAWANDA, PRESIDENT OF THE COMMON COUNCIL, 9C CON, Jenna N Koch
TONAWANDA, CITY TREASURER, 10A DEM, Joseph M Hogenkamp
TONAWANDA, CITY ATTORNEY, 11A DEM, Ronald C Trabucco
TONAWANDA, TONAWANDA COUNCILMEMBER 1ST WARD, 12A DEM, Gaeton Guy Godios
TONAWANDA, TONAWANDA COUNCILMEMBER 1ST WARD, 12B REP, Charles M Gilbert
TONAWANDA, TOMAWANDA COUNCILMEMBER 2ND WARD, 12A DEM, Jackie A Smilinich
TONAWANDA, TOMAWANDA COUNCILMEMBER 2ND WARD, 12B REP, Jonathan R Juliano
TONAWANDA, TONAWANDA COUNCILMEMBER 3RD WARD, 12A DEM, Sean M Rautenstrauch
TONAWANDA, TONAWANDA COUNCILMEMBER 3RD WARD, 12B REP, Robert J Stuart
TONAWANDA, TONAWANDA COUNCILMEMBER 4TH WARD, 12A DEM, Roger L Puchalski
TONAWANDA, TONAWANDA COUNCILMEMBER 4TH WARD, 12B REP, Timothy J Toth
