village, town
Akron Junction, Newstead
Alden Center, Alden
Armor, Orchard Park
Athol Springs, Hamburg
Bagdad, Collins
Bellevue, Cheektowaga
Big Tree, Hamburg
Blakeley, Aurora
Blossom, Elma
Boston, Boston
Bowmansville, Lancaster
Brant, Brant
Brighton, Tonawanda
Carnegie, Hamburg
Chaffee, Sardina
Clarksburg, Eden
Cleveland Hill, Cheektowaga
Clifton Heights, Hamburg
Collins Center, Collins
Concord, Concord
Creekside, Boston
Crittenden, Alden
Dellwood, Lancaster
Derby, Evans
Doyle, Cheektowaga
Duells Corner, Orchard Park
Dutchtown, Holland
East Amherst, Amherst
East Concord, Concord
East Eden, Eden
East Elma, Elma
East Seneca, West Seneca
Ebenezer, West Seneca
Eden Valley, Eden
Ellicott, Orchard Park
Elma, Elma
Evans Center, Evans
Ferry Village, Grand Island
Footes, Concord
Forks, Cheektowaga
Fowlerville, Concord
Gardenville, West Seneca
Getzville, Amherst
Glenwood, Sardinia
Green Acres, Tonawanda
Griffins Mills, Aurora
Holland, Holland
Hunts Corners, Clarence
Jerusalem Corners, Evans
Jewettville, Aurora
Kenilworth, Tonawanda
Lake View, Hamburg
Langford, North Collins
Lawtons, Hamburg
Locksley Park, North Collins
Looneyville, Lancaster
Loveland, Orchard Park
Marilla, Marilla
Marshfield, North Collins
Millersport, Clarence
Millgrove, Alden
Morton Corners, Concord
Mount Vernon, Hamburg
Murrays Corner, Newstead
New Ebenezer, West Seneca
New Oregon, North Collins
North Bailey, Amherst
North Evans, Evans
Oakfield, Grand Island
Patchin, Boston
Peters Corners, Alden
Pine Hill, Cheektowaga
Pinehurst, Hamburg
Pontiac, Evans
Porterville, Marilla
Protection, Sardinia
Sand Hill, Newstead
Sandy Beach, Grand Island
Scranton, Hamburg
Sheenwater, Grand Island
Shirley, North Collins
Snyder, Amherst
South Cheektowaga, Cheektowaga
South Newstead, Newstead
South Wales, Aurora
Spring Brook, Elma
Swifts Mills, Newstead
Taylor Hollow, Collins
Town Line Station, Lancaster
Swormville, Amherst
Walden Cliffs, Hamburg
Wales Hollow, Wales
Water Valley, Hamburgh
Webster Corners, Orchard Park
Wende, Alden
West Alden, Alden
West Falls, Aurora
Weyer, Hamburg
Williston, Marilla
Windom, Hamburg
Wolcottsburg, Clarence
Woodlawn, Hamburg
Woodside, Concord
Wyandale, Concord
Zoar, Collins
Akron, Newstead
Alden, Alden
Angola, Evans
Blasdell, Hamburg
Depew, Lancaster
Farnham, Brant
East Aurora, Aurora
Gowanda, Collins
Hamburg, Hamburg
Kenmore, Tonawanda
Lancaster, Lancaster
North Collins, North Collins
Orchard Park, Orchard Park
Sloan, Cheektowaga
Springville, Concord
Williamsville, Amherst
